bits per second (b/s or bps) , A unit of measure for the movement of data between devices and/or across a medium.
biometrics , A form of identification based on individual human traits.
BIOS (Basic Input/Output System) ," The system firmware in older computer systems and some modern systems responsible for orchestrating hardware registration during bootup, locating and passing control to a bootable operating system, and then carrying out various instructions, from the operating system and its drivers, directed toward system hardware and its input/output (I/O) interfaces."
bridge ," In Ethernet, a Layer-2 legacy networking device replaced almost completely by routers in modern networks."
broadband ," A type of wide-bandwidth communications signaling that supports the transmission of data from multiple sources, including those of varying types, separated across the series of frequencies in the bandwidth."
buffer , A digital memory location used to reduce the loss of data or the variation in the rate of data transmission.
byte (B) , The most basic collection of bits required by a transmission pathway.
cable modem , The customer premise equipment (CPE) used to send and receive internet traffic over a coaxial cable television circuit.
Channel Service Unit/Data Service Unit (CSU/DSU) ," A data circuit-terminating equipment (DCE) form of customer premise equipment (CPE) used to connect enterprise networking devices to a synchronous digital network, such as a T1 circuit."
checksum , An error detection mechanism for data that is based on the data but is generally much smaller than the original data.
circuit-switched network , A telephony or wide area network (WAN) link that provides a temporary connection over a dedicated pathway through the service provider’s network core.
CLI (Command Line Interface) , A user interface (UI) characterized by a text-based individual command parser.
client/server architecture ," A networking model in which specialized computing systems, known as servers, provide one or more possible resources to less powerful systems, known as clients, upon request."
cloud , A term stemming from the abstract concept that the same data and services are available from seemingly limitless points of access.
coaxial cable ," Also known as coax for short; a common form of copper cabling characterized by having two conductors: one being the core of the cable, which is surrounded by the other, a braided shield."
codec , A portmanteau of coder/decoder; an algorithm or a device using such an algorithm for converting analog sounds to digital bit streams (coding) and back (decoding).
compression , The reduction of the amount of data that is transmitted or stored.
console , The input and output devices employed by the user in operating a user interface (UI).
cookie , A piece of data stored on a user’s system by their web browser.
data , Any form of information that is used as input to a system or application for processing or that is produced as the output from a system or application.
DHCP (Dynamic Host Configuration Protocol) , A TCP/IP protocol for assigning IP addresses and related settings to clients on a temporary or permanent basis.
DNS (Domain Name System) , A TCP/IP protocol and general term for the global or enterprise network of systems responsible for resolving fully-qualified domain names (FQDNs) to IP addresses.
driver , Software code that allows an operating system to use a piece of hardware by providing logical control.
DSL (Digital Subscriber Line) , A broadband internet-access circuit based on a standard pair of phone wires.
encapsulation , The addition of control information to a data payload to form a protocol data unit (PDU) that is compatible with the encapsulating technology.
encryption ," The act of altering data to make it unreadable by any person or device, except by the intended recipient, with which a security association has been negotiated, or by an authorized retrieving application."
Ethernet , The most common LAN technology in use today.
frame , The basic data unit of Layer-2 and some Layer-1 protocols.
FTP (File Transfer Protocol) , A TCP/IP protocol for transferring data between a client and server at the file level.
gateway , A classic term for a router; a router at the edge of a network or enterprise internet; a multi-layer protocol converter.
GPS (Global Positioning System) ," Developed for military use, the worldwide network of satellites used to pinpoint the location and altitude of terrestrial mobile electronics; in general, the access service subscribed to or the devices employed by users of the GPS network."
GUI (Graphical User Interface) , A computing user interface (UI) characterized by a full-screen work area and icons that represent objects such as folders and files.
hard drive , Also known as a hard disk drive (HDD); the standard form of permanent magnetic storage for a computer system.
hardware ," As opposed to software, the durable components of the computer system."
host , A networked device with an IP address; a mainframe computer system; the operating system on which a hypervisor runs.
hub ," A Layer-1 Ethernet device with multiple network interfaces; in general, the central concentrating device in a star-wired hub-and-spoke topology."
interface ," A physical port used for connectivity to a network or peripheral device; a point of interconnection between two cables, two components, two protocols, two software processes, or two networks."
internetwork , A network of networks.
IPsec (Internet Protocol Security) , A framework of protocols designed to secure IP traffic between two endpoints.
IPv4 , The primary Layer-3 protocol in use on the internet and private intranets.
IPv6 , The Layer-3 protocol designed to replace IPv4.
ISDN (Integrated Services Digital Network) , A collection of lower-layer protocols and related circuits often used for broadband internet access.
jitter , Variation in the latency (delay) on a network.
LAN (Local Area Network) ," A network that is fully owned by an enterprise; a network that geographically spans a small area, such as a building or floor; a network consisting of all devices behind and including a single router interface; a network that uses a class of Layer-2 protocols limited to deployment on a LAN."
latency , The amount of delay in a communication pathway.
load balancing , Sending proportionate data traffic across multiple signal pathways.
Man-in-the-Middle Attack (MITM) , Any of a family of cyber-attacks characterized by insinuating the attacking system between two legitimately communicating systems.
memory , Location for the temporary or permanent storage of data.
mirroring , Configuring an interface on an Ethernet switch to forward frames intended for all other interfaces.
modem (modulator/demodulator) ," A data communications equipment (DCE) device that assists a data terminal equipment (DTE) device, such as a personal computer, in communicating across a wide-area link."
motherboard , The main circuit board in a computer system.
multiplexing , The combining of multiple sources of data traffic onto a single communications pathway.
node , Any active device anywhere in a network.
Operating System (OS) , The primary systems software on a computer system or other intelligent electronic device.
optical fiber , A type of cabling media that guides light waves down a core made of glass or plastic.
OSI model (Open Systems Interconnection) , The preeminent reference model in the industry.
OSPF (Open Shortest Path First) , A link-state routing protocol that supports large private internetworks.
packet , The data structure often associated with Layer-3 protocols.
packet switched network ," A network characterized by constantly variable pathways, created on demand or permanently established, through a group of switches."
ping ," The act of, or the utility used in, testing the availability of a remote IP host."
policy , An established corporate edict that serves as the beginning of standards and procedures being developed and implemented.
port , A physical interface on an electronic device; a differentiating logical identifier for an application or process.
processor ," Shortened form of central processing unit (CPU), the main integrated circuit in a computer or computerized system."
protocol , An agreed upon method for communication; a set of rules for communication.
proxy server , An edge device that acts on behalf of other devices.
public key cryptography ," The use of a related public and private pair of cryptographic keys for authentication, confidentiality, or both."
RAID (Redundant Array of Independent Disks) ," A fault tolerance, capacity improvement, and performance improvement solution for data storage."
RAM (Random Access Memory) , A type of memory characterized by allowing the access of any addressable location in any order; the main system memory of a computer.
reboot , To restart a device; the restarting of a device.
router , A Layer-3 device used in forwarding traffic from one logical segment to another to send the traffic toward the intended recipient.
routing protocol , A protocol that helps to build a routing table.
routing table , A database of known network and host destinations from the perspective of the device that uses it.
server , A device that shares a resource with a client.
Single Sign-On (SSO) , An authentication model in which only one set of login credentials is required to gain access to many systems.
software , Any digital content that is currently in a storage location or that can be referred to in the abstract.
Spanning Tree Protocol (STP) , A bridging and switching protocol designed to prevent broadcast storms in logical segments that contain physical loops.
spooling , Storing content to be printed in a buffer held in RAM or on a drive until the printer is ready to process the print job.
subnetting ," The act of splitting a larger IP address space into smaller broadcast domains known as subnetworks or subnets (not to be confused with subnet masks, or masks for short)."
switch ," A Layer-2 device that forwards, filters, or floods frames based on the destination address in the header of the frame."
T1 (also written T-1) , One of a class of digital terrestrial circuits that consists of 24 distinct time-division multiplexed channels and a bitrate of 1.
TCP (Transmission Control Protocol) , The primary Layer-4 protocol in the TCP/IP protocol suite.
TCP/IP (Transmission Control Protocol/Internet Protocol) , The principal protocol suite in use in the industry today.
transceiver , A portmanteau for transmitter/receiver that refers to a circuit that transmits outbound traffic to and receives inbound traffic from a network.
topology , The physical or logical layout of a network.
touchscreen , The screen of a monitor that also acts as an input device.
twisted-pair cable , The primary form of copper cable used in modern star-wired networks.
UDP (User Datagram Protocol) ," Along with TCP, one of the two Layer-4 transport protocols in the TCP/IP suite."
unified communications (UC) , The collection of communications and messaging methods that can be implemented together and combined into common transmissions or result in content that can be shared among the methods.
uninterruptible power supply (UPS) , A small to midsize battery backup system.
virtual LAN (VLAN) , A broadcast domain created through configuration on a Layer-2 switch.
Voice over Internet Protocol (VoIP) ," A framework of protocols that enables two or more IP hosts, usually IP phones, to digitize and packetize analog voice signals and transmit them to one another."
Virtual Private Network (VPN) ," A network created by encrypting traffic between two endpoints that are connected to one another across an insecure network, such as the internet."
wavelength , The property of analog and digital signals found by measuring the distance between where one wave begins and where the subsequent wave begins.
Wide Area Network (WAN) ," A network that is leased from a service provider; a network that geographically spans a large area, such as between cities or around the world; a network spanning a great distance between two router interfaces; a network that uses a class of Layer-2 protocols positioned for deployment on a WAN."
Wi-Fi , The term used by the Wi-Fi Alliance to refer to the technology that the IEEE calls 802.
wireless security , A group of protocols that are used for authentication and to secure wireless LANs (WLANs) to varying levels.
wireless , A form of node connectivity that replaces cables with radio waves or invisible wavelengths of light.
Wireless Access Point (WAP) , A concentrating device for wireless networks.
